t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
0.0393,1790120284.6053,idle,,,,,,,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1507,1790120284.7160,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2584,1790120284.8244,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.2000,-44.6200,-58.9100,-3.1600,-14.4200,0.0600,0.0300,0.1900,0.0000,0.0000,0.0000,0.0000
0.3675,1790120284.9334,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.1800,-44.6200,-58.9000,-3.1600,-14.4200,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4802,1790120285.0462,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.1800,-44.6100,-58.9100,-3.1600,-14.4200,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5930,1790120285.1587,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.1800,-44.6100,-58.9100,-3.1600,-14.4200,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9719,1790120285.2789,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.1800,-44.6200,-58.9100,-3.1600,-14.4200,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9721,1790120285.3916,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.1800,-44.6200,-58.9100,-3.1600,-14.4200,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9723,1790120285.5078,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.1800,-44.6100,-58.9100,-3.1600,-14.4300,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0512,1790120285.6172,ramp_j6_start,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.0500,-0.1800,-44.6200,-58.9000,-3.1600,-14.4200,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1677,1790120285.7336,ramp_j6_out,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,0.8374,-0.1800,-44.6200,-58.9100,-3.1600,-14.4200,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2763,1790120285.8422,ramp_j6_out,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,1.3976,-0.1700,-44.6100,-58.9100,-3.1600,-14.4200,0.3100,0.0000,0.0000,0.0000,0.0000,0.0000,8.0200
1.3816,1790120285.9476,ramp_j6_out,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,1.7760,-0.1800,-44.6200,-58.9100,-3.1600,-14.4200,1.2100,0.0000,0.0000,0.0000,0.0000,0.0000,4.9600
1.4919,1790120286.0577,ramp_j6_out,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,2.3315,-0.1800,-44.6100,-58.9100,-3.1600,-14.4200,1.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.9900
1.5972,1790120286.1631,ramp_j6_out,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,2.8806,-0.1800,-44.6100,-58.9100,-3.1600,-14.4200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,8.2600
1.7029,1790120286.2688,ramp_j6_out,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,3.4340,-0.1800,-44.6200,-58.9000,-3.1600,-14.4300,2.7300,0.0000,0.0000,0.0000,0.0000,0.0000,4.5200
1.8116,1790120286.3776,ramp_j6_out,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,3.9904,-0.1800,-44.6200,-58.9100,-3.1600,-14.4300,3.2300,0.0000,0.0000,0.0000,0.0000,0.0000,5.0400
1.9170,1790120286.4830,ramp_j6_out,-0.1900,-44.6200,-58.9100,-3.1600,-14.4300,4.5348,-0.1800,-44.6200,-58.9100,-3.1600,-14.4200,3.7400,0.0000,0.0000,0.0000,0.0000,0.0000,6.6800
