t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
0.9808,1790120244.1446,idle,,,,,,,-0.2200,-44.6400,-58.9100,-3.1500,-14.4700,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9813,1790120244.2636,idle,,,,,,,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9826,1790120244.4008,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2300,-44.6300,-58.9200,-3.1600,-14.4700,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9829,1790120244.5332,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2200,-44.6300,-58.9100,-3.1600,-14.4700,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9832,1790120244.6650,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2200,-44.6300,-58.9100,-3.1500,-14.4700,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9850,1790120244.7968,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2200,-44.6300,-58.9000,-3.1500,-14.4700,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9854,1790120244.9343,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2300,-44.6400,-58.9100,-3.1600,-14.4700,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9857,1790120245.0705,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2300,-44.6300,-58.9100,-3.1600,-14.4700,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1111,1790120245.2070,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2200,-44.6300,-58.9100,-3.1600,-14.4600,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2428,1790120245.3391,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2300,-44.6300,-58.9100,-3.1600,-14.4700,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3798,1790120245.4761,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2200,-44.6300,-58.9100,-3.1600,-14.4600,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5078,1790120245.6041,ramp_j5_start,-0.2200,-44.6400,-58.9100,-3.1600,-14.4600,0.0700,-0.2300,-44.6400,-58.9100,-3.1600,-14.4700,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
