t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
0.2614,1790120256.7279,idle,,,,,,,-0.2200,-44.6300,-58.9100,-3.1500,-14.4500,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2617,1790120256.8469,idle,,,,,,,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3097,1790120256.9661,ramp_j5_start,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,-0.2100,-44.6300,-58.9000,-3.1500,-14.4600,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4252,1790120257.0813,ramp_j5_start,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,-0.2100,-44.6300,-58.9000,-3.1600,-14.4400,0.0600,0.0000,0.1900,0.0000,0.0000,0.0000,0.0000
0.5364,1790120257.1928,ramp_j5_start,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,-0.2100,-44.6200,-58.9100,-3.1600,-14.4300,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6558,1790120257.3119,ramp_j5_start,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,-0.2200,-44.6200,-58.9100,-3.1600,-14.4400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7747,1790120257.4311,ramp_j5_start,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,-0.2200,-44.6200,-58.9100,-3.1600,-14.4400,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8858,1790120257.5423,ramp_j5_start,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,-0.2200,-44.6200,-58.9200,-3.1600,-14.4400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9975,1790120257.6540,ramp_j5_start,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,-0.2100,-44.6200,-58.9100,-3.1500,-14.4400,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1137,1790120257.7701,ramp_j5_start,-0.2200,-44.6300,-58.9100,-3.1600,-14.4500,0.0600,-0.2200,-44.6200,-58.9100,-3.1600,-14.4400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
