t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
0.0152,1790121180.9371,idle,,,,,,,0.0000,-49.9900,-59.9600,0.0000,-39.9900,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1120,1790121181.0344,idle,,,,,,,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2129,1790121181.1353,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9900,-59.9600,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3101,1790121181.2326,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9800,-59.9600,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000
0.4075,1790121181.3300,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9900,-59.9600,0.0000,-39.9700,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5082,1790121181.4308,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9900,-59.9600,0.0000,-39.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6091,1790121181.5316,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9900,-59.9700,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7104,1790121181.6329,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9900,-59.9600,0.0000,-39.9800,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8222,1790121181.7443,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9800,-59.9700,0.0000,-39.9700,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9341,1790121181.8562,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9800,-59.9700,0.0000,-39.9700,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0454,1790121181.9677,ramp_j6_start,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9800,-59.9600,0.0000,-39.9700,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1538,1790121182.0760,ramp_j6_out,0.0000,-49.9900,-59.9700,0.0000,-39.9800,-0.0100,0.0000,-49.9800,-59.9600,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2651,1790121182.1875,ramp_j6_out,0.0000,-49.9900,-59.9700,0.0000,-39.9800,0.5546,0.0000,-49.9900,-59.9600,0.0000,-39.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3657,1790121182.2882,ramp_j6_out,0.0000,-49.9900,-59.9700,0.0000,-39.9800,1.1030,0.0000,-49.9900,-59.9700,0.0000,-39.9800,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,2.5300
1.4742,1790121182.3966,ramp_j6_out,0.0000,-49.9900,-59.9700,0.0000,-39.9800,1.6594,0.0000,-49.9800,-59.9600,0.0000,-39.9700,0.5700,0.0000,0.0000,0.0000,0.0000,0.0000,4.9200
1.5895,1790121182.5119,ramp_j6_out,0.0000,-49.9900,-59.9700,0.0000,-39.9800,2.2014,0.0000,-49.9900,-59.9600,0.0000,-39.9800,1.2500,0.0000,0.0000,0.0000,0.0000,0.0000,4.3500
1.7045,1790121182.6269,ramp_j6_out,0.0000,-49.9900,-59.9700,0.0000,-39.9800,2.7544,0.0000,-49.9800,-59.9600,0.0000,-39.9700,1.8600,0.0000,0.0000,0.0000,0.0000,0.0000,5.0900
1.8234,1790121182.7460,ramp_j6_out,0.0000,-49.9900,-59.9700,0.0000,-39.9800,3.4894,0.0000,-49.9900,-59.9600,0.0000,-39.9700,2.5700,0.0000,0.0000,0.0000,0.0000,0.0000,4.8500
