t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
0.0639,1790120876.8455,idle,,,,,,,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1882,1790120876.9697,ramp_j6_start,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3162,1790120877.0978,ramp_j6_start,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000
0.4363,1790120877.2178,ramp_j6_start,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,-0.0200,-49.9700,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5640,1790120877.3455,ramp_j6_start,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,-0.0200,-49.9700,-59.9600,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6918,1790120877.4734,ramp_j6_start,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,-0.0200,-49.9700,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8237,1790120877.6051,ramp_j6_start,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,-0.0200,-49.9700,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9448,1790120877.7262,ramp_j6_start,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,-0.0100,-49.9800,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0686,1790120877.8501,ramp_j6_start,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.0000,-0.0100,-49.9700,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1851,1790120877.9667,ramp_j6_out,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.1853,-0.0200,-49.9700,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3096,1790120878.0911,ramp_j6_out,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,0.9330,-0.0200,-49.9700,-59.9500,0.0000,-40.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.9900
1.4340,1790120878.2153,ramp_j6_out,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,1.4955,-0.0200,-49.9700,-59.9500,0.0000,-40.0000,0.4200,0.0000,0.0000,0.0000,0.0000,0.0000,6.2200
1.5653,1790120878.3466,ramp_j6_out,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,2.0440,-0.0200,-49.9800,-59.9500,0.0000,-40.0000,1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,4.3000
1.6928,1790120878.4743,ramp_j6_out,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,2.7797,-0.0200,-49.9800,-59.9500,0.0000,-40.0000,1.8100,0.0000,0.0000,0.0000,0.0000,0.0000,5.1000
1.8169,1790120878.5983,ramp_j6_out,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,3.3339,-0.0200,-49.9800,-59.9500,0.0000,-40.0000,2.3200,0.0000,0.0000,0.0000,0.0000,0.0000,5.7900
1.9450,1790120878.7261,ramp_j6_out,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,4.0616,-0.0200,-49.9800,-59.9500,0.0000,-40.0000,3.0800,0.0000,0.0000,0.0000,0.0000,0.0000,4.5000
2.0612,1790120878.8428,ramp_j6_out,-0.0200,-49.9800,-59.9600,0.0000,-40.0000,4.6199,-0.0100,-49.9700,-59.9500,0.0000,-40.0000,3.8000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4600
