t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
3.0795,1790115947.3202,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9300,-59.8900,0.0000,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1874,1790115947.4282,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0300,-49.9300,-59.8900,0.0000,-39.8400,0.0000,-0.1900,0.0000,-0.3200,0.0000,0.0000,0.0000
3.2994,1790115947.5406,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9100,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.4050,1790115947.6456,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.5156,1790115947.7566,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0100,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.6234,1790115947.8646,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9200,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.7283,1790115947.9694,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.8513,1790115948.0925,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9100,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.9700,1790115948.2112,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0300,-39.8400,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.0961,1790115948.3372,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9000,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.2151,1790115948.4561,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9100,0.0100,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.3374,1790115948.5785,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9200,-59.9300,0.0100,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4601,1790115948.7008,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,-0.0300,-49.9000,-59.9400,0.0000,-39.8400,0.0000,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000
4.5784,1790115948.8197,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9000,-59.9200,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.6913,1790115948.9323,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0200,-49.9000,-59.9300,0.0000,-39.8600,0.0000,0.0000,-0.5200,0.0000,0.0000,0.0000,0.0000
4.8063,1790115949.0474,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0200,-49.9200,-59.9200,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.9252,1790115949.1662,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9200,-59.9200,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0474,1790115949.2886,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9200,-59.9100,0.0000,-39.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1491,1790115949.3902,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9200,-59.9200,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
