t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
0.1227,1790120862.1232,idle,,,,,,,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2639,1790120862.2646,ramp_j5_start,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,0.0000,-49.9900,-59.9700,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4018,1790120862.4025,ramp_j5_start,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,-0.0700,0.2000,0.4700,0.0000,0.0000,0.0000
0.5313,1790120862.5319,ramp_j5_start,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,-0.0100,-49.9800,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6687,1790120862.6694,ramp_j5_start,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,-0.0200,-49.9900,-59.9600,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8062,1790120862.8070,ramp_j5_start,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9482,1790120862.9489,ramp_j5_start,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,-0.0300,-49.9700,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0854,1790120863.0862,ramp_j5_start,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2151,1790120863.2159,ramp_j5_start,-0.0100,-49.9900,-59.9700,0.0000,-40.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3486,1790120863.3493,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-39.4377,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4901,1790120863.4909,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-38.6893,0.0000,-0.0200,-49.9800,-59.9600,0.0000,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,4.5600,0.0000
1.6226,1790120863.6233,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-38.1179,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-39.2000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6100,0.0000
1.7492,1790120863.7499,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-37.3825,0.0000,-0.0200,-49.9800,-59.9600,0.0000,-38.3300,0.0000,0.0000,0.0000,0.0000,0.0000,6.6500,0.0000
1.8677,1790120863.8684,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-36.8321,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-37.9800,0.0000,0.0000,0.0000,0.0000,0.0000,3.9900,0.0000
1.9900,1790120863.9908,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-36.2904,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-37.2500,0.0000,0.0000,0.0000,0.0000,0.0000,5.8100,0.0000
2.1123,1790120864.1132,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-35.5477,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-36.5200,0.0000,0.0000,0.0000,0.0000,0.0000,4.6700,0.0000
2.2320,1790120864.2326,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-34.9902,0.0000,-0.0200,-49.9900,-59.9600,0.0000,-36.0800,0.0000,0.0000,0.0000,0.0000,0.0000,4.4800,0.0000
2.3434,1790120864.3443,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-34.4412,0.0000,-0.0200,-49.9800,-59.9600,0.0000,-35.4100,0.0000,0.0000,0.0000,0.0000,0.0000,5.5200,0.0000
2.4654,1790120864.4663,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-33.8835,0.0000,-0.0100,-49.9800,-59.9500,0.0100,-34.7000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3600,0.0000
2.5774,1790120864.5781,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-33.3250,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-34.3000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3800,0.0000
2.6999,1790120864.7007,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-32.7671,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-33.6400,0.0000,0.0000,0.0000,0.0000,0.0000,4.9600,0.0000
2.8152,1790120864.8158,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-32.2064,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-33.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5100,0.0000
2.9338,1790120864.9347,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-31.4723,0.0000,-0.0200,-49.9900,-59.9600,0.0000,-32.5600,0.0000,0.0000,0.0000,0.0000,0.0000,3.2700,0.0000
3.0496,1790120865.0504,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-30.9331,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-31.9900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6200,0.0000
3.1650,1790120865.1657,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-30.3789,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-31.3400,0.0000,0.0000,0.0000,0.0000,0.0000,5.4600,0.0000
3.2869,1790120865.2878,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-29.8305,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-30.7000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1800,0.0000
3.4062,1790120865.4070,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-29.0887,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-30.0700,0.0000,0.0000,0.0000,0.0000,0.0000,4.2900,0.0000
3.5283,1790120865.5292,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-28.5451,0.0000,-0.0200,-49.9800,-59.9600,0.0000,-29.6100,0.0000,0.0000,0.0000,0.0000,0.0000,6.0300,0.0000
3.6472,1790120865.6481,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-27.9886,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-28.8800,0.0000,0.0000,0.0000,0.0000,0.0000,4.8700,0.0000
3.7711,1790120865.7716,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-27.2571,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-28.3100,0.0000,0.0000,0.0000,0.0000,0.0000,5.0300,0.0000
3.8971,1790120865.8978,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-26.6951,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-27.8300,0.0000,0.0000,0.0000,0.0000,0.0000,3.5800,0.0000
4.0125,1790120866.0131,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-26.1439,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-27.2100,0.0000,0.0000,0.0000,0.0000,0.0000,5.9100,0.0000
4.1347,1790120866.1354,ramp_j5_out,-0.0100,-49.9900,-59.9700,0.0000,-25.5876,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-26.4600,0.0000,0.0000,0.0000,0.0000,0.0000,4.9000,0.0000
4.2570,1790120866.2577,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-50.0000,-59.9500,0.0000,-25.9900,0.0000,0.0000,0.0000,0.0000,0.0000,3.2900,0.0000
4.3871,1790120866.3877,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.4000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1500,0.0000
4.5058,1790120866.5066,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.6282,1790120866.6291,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.7470,1790120866.7478,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.8658,1790120866.8667,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.9850,1790120866.9857,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9800,-59.9500,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1073,1790120867.1082,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9800,-59.9600,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.2229,1790120867.2234,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.3447,1790120867.3458,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4676,1790120867.4683,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.5838,1790120867.5846,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.6956,1790120867.6964,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-24.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.8112,1790120867.8119,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-24.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.9298,1790120867.9306,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9600,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.0485,1790120868.0494,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9900,-59.9500,0.0000,-25.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.1641,1790120868.1648,ramp_j5_out_settle,-0.0100,-49.9900,-59.9700,0.0000,-25.0000,0.0000,-0.0200,-49.9800,-59.9600,0.0000,-25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
