t_s,commanded_position,force_pct,initialised,grip_state,position
0.233,1000,20,1,1,1000
0.432,1000,20,1,1,1000
0.643,1000,20,1,1,1000
0.836,1000,20,1,1,1000
1.035,1000,20,1,1,1000
1.232,1000,20,1,1,1000
1.433,1000,20,1,1,1000
1.637,1000,20,1,1,1000
1.833,1000,20,1,1,1000
2.033,1000,20,1,1,1000
2.232,1000,20,1,1,1000
2.432,1000,20,1,1,1000
2.632,1000,20,1,1,1000
2.832,1000,20,1,1,1000
3.033,1000,20,1,1,1000
3.232,1000,20,1,1,1000
3.432,1000,20,1,1,1000
3.633,1000,20,1,1,1000
3.832,1000,20,1,1,1000
4.032,1000,20,1,1,1000
4.232,1000,20,1,1,1000
4.431,1000,20,1,1,1000
4.633,1000,20,1,1,1000
4.833,1000,20,1,1,1000
5.032,1000,20,1,1,1000
5.232,1000,20,1,1,1000
5.432,1000,20,1,1,1000
5.633,1000,20,1,1,1000
5.832,1000,20,1,1,1000
6.033,1000,20,1,1,1000
6.232,1000,20,1,1,1000
6.432,1000,20,1,1,1000
6.632,1000,20,1,1,1000
6.833,1000,20,1,1,1000
7.032,1000,20,1,1,1000
7.232,1000,20,1,1,1000
7.433,1000,20,1,1,1000
7.634,1000,20,1,1,1000
7.833,1000,20,1,1,1000
8.032,1000,20,1,1,1000
8.232,1000,20,1,1,1000
8.432,1000,20,1,1,1000
8.633,1000,20,1,1,1000
8.833,1000,20,1,1,1000
9.033,1000,20,1,1,1000
9.233,1000,20,1,1,1000
9.433,1000,20,1,1,1000
9.633,1000,20,1,1,1000
9.833,0,20,1,0,880
10.032,0,20,1,0,453
10.233,0,20,1,0,13
10.433,0,20,1,1,0
10.633,0,20,1,1,0
10.833,1000,20,1,0,28
11.032,1000,20,1,0,513
11.232,1000,20,1,0,1000
11.433,1000,20,1,1,1000
11.633,1000,20,1,1,1000
11.832,1000,20,1,1,1000
12.032,1000,20,1,1,1000
12.233,0,20,1,0,792
12.432,0,20,1,0,290
12.634,0,20,1,1,0
12.832,0,20,1,1,0
13.033,0,20,1,1,0
13.232,0,20,1,1,0
13.432,0,20,1,1,0
13.632,0,20,1,1,0
13.837,1000,20,1,0,3
14.032,1000,20,1,0,423
14.233,1000,20,1,0,977
14.433,1000,20,1,1,1000
14.633,1000,20,1,1,1000
14.832,1000,20,1,1,1000
15.033,1000,20,1,1,1000
15.232,0,20,1,0,789
15.433,0,20,1,0,257
15.633,0,20,1,1,0
15.833,0,20,1,1,0
16.032,0,20,1,1,0
16.234,1000,20,1,0,35
16.433,1000,20,1,0,537
16.633,1000,20,1,1,1000
16.832,1000,20,1,1,1000
17.032,1000,20,1,1,1000
17.232,1000,20,1,1,1000
17.433,1000,20,1,1,1000
17.633,1000,20,1,1,1000
17.833,1000,20,1,1,1000
18.033,1000,20,1,1,1000
18.233,1000,20,1,1,1000
18.433,1000,20,1,1,1000
18.633,0,20,1,0,884
18.832,0,20,1,0,413
19.032,0,20,1,0,8
19.233,0,20,1,1,0
19.433,0,20,1,1,0
19.632,0,20,1,1,0
19.833,0,20,1,1,0
20.033,0,20,1,1,0
20.232,0,20,1,1,0
20.433,0,20,1,1,0
20.633,0,20,1,1,0
20.833,0,20,1,1,0
21.033,0,20,1,1,0
21.233,1000,20,1,0,235
21.433,1000,20,1,0,840
21.633,1000,20,1,1,1000
21.832,1000,20,1,1,1000
22.032,1000,20,1,1,1000
22.232,1000,20,1,1,1000
22.432,1000,20,1,1,1000
22.633,1000,20,1,1,1000
22.832,1000,20,1,1,1000
23.032,1000,20,1,1,1000
23.232,1000,20,1,1,1000
23.433,1000,20,1,1,1000
23.634,1000,20,1,1,1000
23.834,1000,20,1,1,1000
24.034,1000,20,1,1,1000
24.234,0,20,1,0,867
24.435,0,20,1,0,396
24.634,0,20,1,0,11
24.835,0,20,1,1,0
25.033,0,20,1,1,0
25.188,0,20,1,1,0
25.388,0,20,1,1,0
25.587,0,20,1,1,0
25.788,0,20,1,1,0
25.988,0,20,1,1,0
26.187,0,20,1,1,0
26.388,0,20,1,1,0
26.588,1000,20,1,0,168
26.787,1000,20,1,0,756
