t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
0.7666,1790119787.2852,idle,,,,,,,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8288,1790119787.4019,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0100,-50.0100,-59.9900,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9533,1790119787.5262,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0100,-50.0100,-59.9800,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0900,0.0000,0.0000,0.0000
1.0591,1790119787.6322,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0200,-50.0100,-59.9800,0.0000,-40.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1650,1790119787.7380,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0200,-50.0100,-59.9900,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2708,1790119787.8438,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0200,-50.0100,-59.9800,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3839,1790119787.9570,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0200,-50.0100,-59.9800,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4936,1790119788.0666,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6066,1790119788.1798,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0100,-50.0000,-59.9900,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7237,1790119788.2966,ramp_j6_start,-0.0200,-50.0000,-59.9900,0.0000,-40.0000,0.0000,-0.0100,-50.0000,-59.9800,0.0000,-40.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
